Game Number,Team,Pitcher,Rest,Season WL,Season ERA,Season WHIP,Last 3 WL,Last 3 IP,Last 3 ERA,Last 3 WHIP,K,HR,Team WLCS,Streak WL,Streak O/U
951,MIL,Ashby (L),12,0-0,0.00,0.00,0-0,0.00,0.00,0.00,0,0,0-0,W1,O1
952,CIN,Ashcraft (R),5,0-1,3.00,0.83,0-1,6.00,3.00,0.83,5,2,0-1,L1,U1
953,NYM,Teheran (R),999,0-0,0.00,0.00,0-0,0.00,0.00,0.00,0,0,1-0,W1,U1
954,ATL,Morton (R),6,1-0,0.00,0.88,1-0,5.00,0.00,0.88,6,0,2-0,W3,U1
955,PHI,Turnbull (R),5,1-0,0.00,0.60,1-0,5.00,0.00,0.60,7,0,1-0,L1,U4
956,STL,Mikolas (R),5,1-1,6.10,1.65,1-1,10.00,6.10,1.65,9,2,0-0,L1,O1
957,ARI,Gallen (R),5,2-0,0.82,1.00,2-0,11.00,0.82,1.00,9,0,0-2,L4,U1
958,COL,Freeland (L),5,0-2,27.00,4.06,0-2,5.00,27.00,4.06,4,3,0-1,L2,U1
959,CHC,Assad (R),5,1-0,0.00,0.83,1-0,6.00,0.00,0.83,5,0,0-2,L1,U1
960,SD,Darvish (R),5,0-1,2.30,1.09,0-1,15.00,2.30,1.09,16,1,0-3,L1,U5
961,WAS,Williams (R),4,1-0,3.38,0.94,1-0,5.00,3.38,0.94,5,0,0-0,W1,U3
962,SF,Snell (L),999,0-0,0.00,0.00,0-0,0.00,0.00,0.00,0,0,0-1,W1,U3
963,CHW,,0,0-0,0.00,0.00,0-0,0.00,0.00,0.00,0,0,0-3,L4,U3
964,CLE,McKenzie (R),6,0-1,10.80,1.80,0-1,3.00,10.80,1.80,2,1,0-0,W4,U2
965,SEA,Castillo (R),5,0-2,6.75,1.78,0-2,10.00,6.75,1.78,12,2,0-0,L1,O1
966,TOR,Berrios (R),5,1-0,2.25,1.33,1-0,12.00,2.25,1.33,8,2,0-0,L3,O2
967,HOU,Valdez (L),5,0-0,2.19,1.38,0-0,12.00,2.19,1.38,10,0,0-2,L2,U1
968,TEX,Heaney (L),5,0-1,1.93,0.86,0-1,4.00,1.93,0.86,7,0,4-0,W3,U1
969,TB,Eflin (R),5,1-1,5.25,1.08,1-1,12.00,5.25,1.08,10,3,1-0,W2,U1
970,LAA,Anderson (L),5,1-0,0.00,0.86,1-0,7.00,0.00,0.86,5,0,1-1,W1,U1
971,MIA,Luzardo (L),5,0-1,4.35,0.97,0-1,10.00,4.35,0.97,13,2,0-0,W1,O1
972,NYY,Cortes Jr. (L),5,0-1,6.30,1.70,0-1,10.00,6.30,1.70,7,1,1-0,W3,O3
973,DET,Olson (R),6,0-0,0.00,0.88,0-0,5.00,0.00,0.88,3,0,1-0,L2,U2
974,PIT,Keller (R),4,0-1,6.55,1.73,0-1,11.00,6.55,1.73,8,1,0-0,W2,U1
975,LAD,Paxton (L),6,1-0,0.00,1.80,1-0,5.00,0.00,1.80,5,0,0-0,W1,U1
976,MIN,Ober (R),7,0-1,54.00,7.50,0-1,1.00,54.00,7.50,1,3,0-0,L2,U2
